,MSSubClass,MSZoning,LotArea,LotConfig,Neighborhood,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,Exterior1st,Foundation,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,KitchenQual,TotRmsAbvGrd,Functional,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,SaleCondition,SalePrice
0,60,3,9.041921720351219,0,14,5,7,5,5,5,10,4,1,706,0,150,856,4,6.752270376141742,854,0,1,2,8,4,1,4,5.0,2,2,548,0,61,0,0,0,0,3,12.247694320220994
1,20,3,9.169518377455928,2,11,3,6,8,31,31,4,2,4,978,0,284,1262,4,7.140453043101158,0,0,0,1,6,4,3,4,31.0,2,2,460,298,0,0,0,0,0,3,
2,60,3,9.328123407632566,0,14,5,7,5,7,6,10,4,2,486,0,434,920,4,6.824373670043086,866,0,1,2,6,4,3,4,7.0,2,2,608,0,42,0,0,0,0,3,12.31716669303576
3,70,3,9.164296433474776,1,16,5,7,5,91,36,2,1,1,216,0,540,756,3,6.8679744089702925,756,0,1,2,7,4,4,2,8.0,1,3,642,0,35,272,0,0,0,0,11.84939770159144
4,60,3,9.565213693968287,2,22,5,8,5,8,8,10,4,3,655,0,490,1145,4,7.0431599159883405,1053,0,1,2,9,4,3,4,8.0,2,3,836,192,84,0,0,0,0,3,12.429216196844383
5,50,3,9.55499334068759,0,9,1,5,5,16,14,10,3,1,732,0,64,796,4,6.679599185844383,566,0,1,1,5,4,1,4,16.0,1,2,480,40,30,0,320,0,0,3,11.870599909242044
6,20,3,9.218705288307811,0,18,3,8,5,3,2,10,4,3,1369,0,317,1686,4,7.434847875211999,0,0,1,2,7,4,4,4,3.0,2,2,636,255,57,0,0,0,0,3,12.634603026569334
7,60,3,9.247828816387175,1,12,5,7,6,36,36,6,2,2,859,32,216,1107,4,7.009408932708637,983,0,1,1,7,4,3,4,36.0,2,2,484,235,204,228,0,0,0,3,12.206072645530174
8,50,1,8.719317375506371,0,4,1,7,5,77,58,8,1,1,0,0,952,952,3,6.92951677076365,752,0,0,1,8,3,3,2,77.0,1,2,468,90,0,205,0,0,0,0,11.77452020265869
9,190,3,8.911934336161426,1,3,2,5,6,69,58,4,1,1,851,0,140,991,4,6.981934677156389,0,0,1,1,5,4,3,4,69.0,2,1,205,0,4,0,0,0,0,3,11.678439903447801
10,20,3,9.323669057283185,0,6,3,5,5,43,43,6,2,1,906,0,134,1040,4,6.946975992135418,0,0,1,1,5,4,1,2,43.0,1,1,384,0,0,0,0,0,0,3,11.771436160121729
11,60,3,9.386308454797962,0,21,5,9,5,1,0,3,4,1,998,0,177,1175,4,7.074963197966044,1142,0,1,3,11,4,4,5,1.0,3,3,736,147,21,0,0,0,0,4,12.751299696013497
12,20,3,9.470240063415512,0,6,3,5,6,46,46,6,2,1,737,0,175,912,2,6.815639990074331,0,0,1,1,4,4,1,2,46.0,1,1,352,140,0,0,0,176,0,3,
13,20,3,9.273502946933823,0,14,3,7,5,1,0,10,4,3,0,0,1494,1494,4,7.309212365692763,0,0,0,2,7,4,4,4,1.0,2,3,840,160,33,0,0,0,0,4,
14,20,3,9.298351249298896,1,8,3,6,5,48,48,4,2,1,733,0,520,1253,2,7.133295954896068,0,0,1,1,5,4,2,4,48.0,2,1,352,0,213,176,0,0,0,3,11.964001084330445
15,45,1,8.719317375506371,1,3,2,7,8,78,6,2,1,1,0,0,832,832,4,6.74993119378857,0,0,0,1,5,4,1,2,16.0,1,2,576,48,112,0,0,0,0,3,11.790557201568507
16,20,3,9.327323087461798,4,8,3,6,7,40,40,2,2,1,578,0,426,1004,4,6.911747300251674,0,0,1,1,5,4,3,4,40.0,3,2,480,0,0,0,0,0,0,3,
17,90,3,9.286467732363734,0,6,3,4,5,39,39,4,0,0,0,0,0,0,2,7.16703787691222,0,0,0,1,6,4,1,1,39.0,1,2,516,0,0,0,0,0,0,3,11.407564949312402
